LGA_NAME_2021,Index of Relative Socio-economic Disadvantage Score,Index of Relative Socio-economic Advantage and Disadvantage Score,Index of Economic Resources Score,Index of Education and Occupation Score,M_Mental_health_rate_0_34,M_Mental_health_rate_35_85_over,F_Mental_health_rate_0_34,F_Mental_health_rate_35_85_over,Domestic violence related assault,Non-domestic violence related assault,Assault Police,Sexual assault,"Sexual touching, sexual act and other sexual offences","Intimidation, stalking and harassment",OLG Group,Council Type
Albury,968,950,962,954,0.07198317696538337,0.10908843907077842,0.13085097752900138,0.14390214654035255,0.007220152247160965,0.006061362380332662,0.000730928992922468,0.0013370652309557343,0.0014083753766067067,0.00919900878897545,4,Regional Town/City
Armidale Regional,980,976,955,1010,0.06598680263947211,0.0831518780620577,0.11579249068501003,0.1156679764243615,0.008137618459002884,0.006867188572998215,0.00020601565718994644,0.0025751957148743305,0.001854140914709518,0.0075195714874330445,4,Regional Town/City
Ballina,1015,996,1011,991,0.06736764885682846,0.09494748793641783,0.10581410013873124,0.1195382323733863,0.003175220321410057,0.0027216174183514776,0.00019440124416796267,0.0013176084326939693,0.0009072058061171591,0.003110419906687403,4,Regional Town/City
Balranald,960,934,970,915,0.024691358024691357,0.04451510333863275,0.05555555555555555,0.05069124423963134,0.003170289855072464,0.002717391304347826,0.0,0.0,0.0004528985507246377,0.002717391304347826,9,Rural
Bathurst Regional,991,967,999,959,0.07574267165060004,0.09477822408341167,0.12393117280692495,0.13951586522734707,0.007689306126196433,0.006449835884958799,0.0005508756627722818,0.001767392751394404,0.0019969242775495213,0.009778043014208001,4,Regional Town/City
Bayside (NSW),1004,1044,966,1051,0.028677065280184863,0.05506482890165535,0.05004606954075942,0.07839351226105426,0.0035790939811854963,0.002226230706000548,0.000256872773769294,0.0004909124120924286,0.0005023289798155083,0.00385879989040095,3,Metropolitan
Bega Valley,986,949,987,946,0.06749404964297857,0.09323910081743869,0.10869951965842377,0.12749349522983522,0.0034778253853430525,0.003032663736019142,0.00019475822157921096,0.0009459685048133103,0.0009737911078960547,0.0037560514161704968,4,Regional Town/City
Bellingen,981,960,983,985,0.06588447653429604,0.09095226786986464,0.10634328358208955,0.13063929869574514,0.003772730702482457,0.004074549158681054,7.545461404964914e-05,0.00173545612314193,0.0019618199652908777,0.003999094544631404,11,Large Rural
Berrigan,966,927,974,913,0.06142857142857143,0.09337035751475183,0.09193776520509193,0.1320817968488099,0.002654356607039815,0.00415464512406232,0.0002308136180034622,0.0009232544720138488,0.00103866128101558,0.0051933064050779,10,Large Rural
Blacktown,987,1006,1020,993,0.03700965897890794,0.05763186556713863,0.058605423914254745,0.08614235948214767,0.0053909510655886445,0.00401738008347279,0.00031503921608161785,0.0009804020404459947,0.0009955239228179125,0.006779643930076416,3,Metropolitan
Bland,993,958,1001,939,0.030249110320284697,0.06310679611650485,0.06940639269406393,0.09199522102747909,0.007391382729403281,0.004687218316206959,0.0,0.0012619433928249505,0.001081665765278529,0.007932215612042546,10,Large Rural
Blayney,991,962,1020,942,0.06461932181701856,0.08781609195402298,0.09746588693957114,0.11683079677708147,0.0038682139522475656,0.003601440576230492,0.00013338668800853674,0.0017340269441109778,0.0017340269441109778,0.005202080832332933,10,Large Rural
Blue Mountains,1048,1042,1039,1063,0.08184281842818428,0.09877879785206999,0.12663445139283683,0.13917663697870877,0.0026881376326467915,0.002201712727691658,0.0002304117970840107,0.0011136570192393851,0.0011264576746329413,0.005273870022145134,7,Metropolitan Fringe
Bogan,966,948,989,936,0.025044722719141325,0.041116005873715125,0.08834586466165413,0.08676470588235294,0.006890960680989056,0.0044588569112282124,0.0,0.0016214025131738954,0.002837454398054317,0.008107012565869477,9,Rural
Bourke,947,954,947,980,0.03345724907063197,0.05984251968503937,0.05673758865248227,0.07716535433070866,0.051709401709401706,0.022222222222222223,0.003418803418803419,0.00641025641025641,0.004700854700854701,0.055982905982905985,9,Rural
Brewarrina,818,866,789,917,0.012307692307692308,0.027624309392265192,0.03353658536585366,0.08264462809917356,0.048672566371681415,0.018436578171091445,0.0,0.003687315634218289,0.0029498525073746312,0.06710914454277286,8,Rural
Broken Hill,913,892,919,887,0.07544504097202599,0.11413799960230663,0.12674451723155797,0.1431682090364725,0.013133954969297248,0.008755969979531498,0.002103707073004321,0.0009097111667045713,0.0014782806458949283,0.01682965658403457,4,Regional Town/City
Burwood,977,1050,926,1082,0.028264446810570127,0.05054190363772937,0.04902446271169655,0.06136081687183892,0.002287589825198299,0.0026357013203371707,7.459532038690106e-05,0.0003481114951388716,0.0007459532038690106,0.0028843523882935078,2,Metropolitan
Byron,1021,1027,1009,1052,0.04343267934701213,0.07209411764705882,0.07498608792431831,0.09475043029259897,0.0035441355631852917,0.005593088935651789,0.0005260826226603167,0.0014398050725440248,0.0011352309225827887,0.0067560084173219626,4,Regional Town/City
Cabonne,1023,995,1044,975,0.04460694698354662,0.08544921875,0.09155191663565314,0.11909845788849348,0.0023245677756792097,0.002179282289699259,0.0,0.000726427429899753,0.0009443556588696789,0.004140636350428592,11,Large Rural
Camden,1045,1050,1098,1002,0.040830428091334525,0.06824127363779056,0.074246660453557,0.10802101576182137,0.0027906976744186047,0.0012319296040226274,6.704378797402053e-05,0.0005112088833019065,0.0007123402472239682,0.003679027865074377,7,Metropolitan Fringe
Campbelltown (NSW),947,952,981,949,0.048607899361761166,0.07231914452305778,0.07433163700002303,0.11146030652660582,0.005342201122825305,0.003450053535313479,0.0005098601283714501,0.0010933667197298874,0.0011783434077917959,0.005625456749698333,7,Metropolitan Fringe
Canada Bay,1067,1116,1021,1123,0.03225806451612903,0.05019451962110961,0.05672871369727306,0.06895914217045665,0.0014689886405687565,0.0014129203718447581,0.00011213653744799668,0.000605537302219182,0.0004261188423023874,0.00201845767406394,3,Metropolitan
Canterbury-Bankstown,917,966,949,996,0.025514791342295125,0.053909833904561034,0.042591011682707486,0.07841284837033538,0.0036764904071632265,0.0021212594944556152,0.00021293456170520152,0.0005336840913624038,0.0006280221883204045,0.004525533279785232,3,Metropolitan
Carrathool,973,953,980,941,0.018544935805991442,0.054958183990442055,0.06623586429725363,0.10668563300142248,0.00732728541521284,0.004884856943475227,0.0,0.00209351011863224,0.00104675505931612,0.00628053035589672,9,Rural
Central Coast (NSW),994,978,1005,967,0.07460829232422649,0.09789224758379601,0.1203479377681777,0.13570345071893763,0.0042008563284054055,0.003961384436058119,0.00036353564380431396,0.0013531604519382797,0.0011887038511696616,0.006474396703943496,7,Metropolitan Fringe
Central Darling,827,869,853,929,0.0226628895184136,0.06601941747572816,0.0427807486631016,0.1059322033898305,0.06608695652173913,0.011014492753623189,0.0011594202898550724,0.004057971014492754,0.004057971014492754,0.029565217391304348,9,Rural
Cessnock,939,908,984,876,0.08576169930302024,0.11206133883810085,0.14891702996332434,0.1706876456876457,0.004746039728438522,0.004321724918280111,0.00029859190344480764,0.001367236610510435,0.001760120693990445,0.006427583605732964,4,Regional Town/City
Clarence Valley,940,910,963,901,0.06720977596741344,0.11405188925648616,0.10989611809732094,0.14263401573046244,0.003732791277834242,0.00417629123163633,0.00025870830638455143,0.001071791555021713,0.0010348332255382057,0.005580707752009609,4,Regional Town/City
Cobar,965,937,977,904,0.039361702127659576,0.06720430107526881,0.07258938244853738,0.10102899906454631,0.005173688100517369,0.005666420300566642,0.0,0.0007390983000739098,0.001231830500123183,0.01453559990145356,10,Large Rural
Coffs Harbour,972,954,982,953,0.06980508968464677,0.10509751773049646,0.10514367256924174,0.13484166469241096,0.0065770261176500465,0.006386571693393771,0.00033012100204421084,0.0021203925900532003,0.001675998933455224,0.008354600744041952,5,Regional Town/City
Coolamon,983,951,1006,941,0.059496567505720827,0.10576164167324388,0.10256410256410256,0.1126228269085412,0.002280501710376283,0.0009122006841505131,0.00022805017103762827,0.0015963511972633979,0.0009122006841505131,0.0034207525655644243,9,Rural
Coonamble,883,893,922,919,0.03841536614645858,0.09551656920077972,0.09535452322738386,0.08812260536398467,0.02572347266881029,0.01420150053590568,0.0008038585209003215,0.0034833869239013935,0.0021436227224008574,0.028135048231511254,9,Rural
Cootamundra-Gundagai Regional,953,926,965,918,0.05945692883895131,0.10257134783837242,0.10935910478128179,0.12326943556975506,0.004121722353766553,0.0033324563711304043,0.00017539244058581075,0.0008769622029290538,0.00228010172761554,0.006314127861089187,11,Large Rural
Cowra,932,908,950,908,0.069376026272578,0.1050864962561322,0.1188781917120134,0.1308783279422742,0.006287331027978623,0.005029864822382898,0.00039295818924866394,0.0017290160326941214,0.0023577491354919836,0.008487896887771141,11,Large Rural
Cumberland,904,961,931,995,0.019417475728155338,0.04847809430939611,0.031109880027006907,0.07381104940908444,0.0037419458968140367,0.002828758192143188,0.00022935877233593415,0.0005606547768211723,0.0006073760082229367,0.004226147749523231,3,Metropolitan
Dubbo Regional,985,958,988,944,0.06288262414027662,0.09209958267376601,0.10179920554560325,0.12776922562077506,0.011088452714759113,0.007374094169913695,0.0008921743563599286,0.0020028403918284114,0.0016933105130912931,0.013819598703616038,4,Regional Town/City
Dungog,1009,974,1040,945,0.06079196876742889,0.10023624704691192,0.10736368746486791,0.1267792121813969,0.00293470286133529,0.0028298920448590293,0.00010481081647626035,0.0010481081647626036,0.0010481081647626036,0.004821297557907976,10,Large Rural
Edward River,966,939,971,935,0.07321537522879805,0.09087317265902806,0.11594202898550725,0.11928651059085842,0.0074503311258278145,0.005439924314096499,0.0013008514664143804,0.0015373699148533587,0.0007095553453169347,0.008751182592242194,10,Large Rural
Eurobodalla,985,946,983,941,0.06709991876523153,0.09956993949996355,0.11156532106966445,0.12685560053981107,0.005468923213361909,0.004286453329391767,0.00036952183874066957,0.0012071046732195206,0.0010346611484738748,0.00862217623728229,4,Regional Town/City
Fairfield,814,885,937,919,0.02304849788095785,0.05648916048304962,0.03178543186011774,0.07522175439764349,0.003827797097973378,0.0023456049886077467,0.0002590238637726346,0.00042211296318503416,0.0007578846384458568,0.005170883799016669,3,Metropolitan
Federation,969,925,976,897,0.05555555555555555,0.09316770186335403,0.11121628017037388,0.12322491983508933,0.0022482362973873945,0.003411117140863633,7.752538956508256e-05,0.0009303046747809908,0.0004651523373904954,0.005349251879990697,11,Large Rural
Forbes,969,941,977,938,0.05590386624869383,0.08638743455497382,0.09688934217236105,0.12441059122234313,0.007940766176628394,0.010408842150445326,0.00042923060414207535,0.0020388453696748576,0.001287691812426226,0.01298422577529778,10,Large Rural
Georges River,1011,1048,999,1060,0.02675661768909725,0.04811485642946317,0.04622377837157161,0.06733780760626398,0.00283699121320777,0.002042370989138001,0.00017731195082548563,0.00040059366667980086,0.000597606945374785,0.0029946018361637575,3,Metropolitan
Gilgandra,930,913,955,923,0.03245192307692308,0.09527498063516654,0.06968215158924206,0.11193476649369903,0.011175785797438883,0.004656577415599534,0.0006984866123399302,0.0009313154831199069,0.002561117578579744,0.01629802095459837,9,Rural
Glen Innes Severn,906,891,929,907,0.06435006435006435,0.10031347962382445,0.10317460317460317,0.14790139906728847,0.00727802037845706,0.006158324935617512,0.00011196954428395476,0.002015451797111186,0.002463329974247005,0.013884223491210391,10,Large Rural
Goulburn Mulwaree,972,945,985,926,0.06794450007152053,0.09708419788140221,0.11364350833071361,0.1384373361300472,0.0035878076935076278,0.003650204349046891,0.00021838829438742082,0.0016223130440208406,0.0010607431441674727,0.004242972576669891,4,Regional Town/City
Greater Hume Shire,999,964,1018,956,0.051203501094091906,0.08676339946698253,0.08513640639698965,0.11700236966824644,0.0029577843506318905,0.0014340772609124316,0.0,0.0007170386304562158,0.0014340772609124316,0.0032266738370529714,11,Large Rural
Griffith,974,950,985,920,0.04543340052721352,0.06446650818067404,0.0722812755519215,0.09739555073250136,0.0070516133796057,0.004430333013364838,0.0005168721848925644,0.0012183415786753305,0.0014398582293435724,0.010005168721848926,4,Regional Town/City
Gunnedah,967,940,989,909,0.048224177256435324,0.07287328970850684,0.08435374149659863,0.11161217587373168,0.006961095212313404,0.006883749709954366,0.00023203650707711348,0.001701601051898832,0.0018562920566169078,0.008662696264212236,11,Large Rural
Gwydir,957,936,978,947,0.02912621359223301,0.08032378580323786,0.06798516687268233,0.12439320388349515,0.002240325865580448,0.0036659877800407333,0.0004073319755600815,0.002036659877800407,0.0014256619144602852,0.007739307535641548,10,Large Rural
Hawkesbury,1026,1008,1056,969,0.05903846153846154,0.08383233532934131,0.09556476261631461,0.12806897639451134,0.0036752124034698766,0.003109795110628357,0.000252949841534364,0.0007588495246030919,0.0009820405612510602,0.00555001711131281,6,Metropolitan Fringe
Hay,956,926,950,903,0.05935251798561151,0.06370875995449374,0.09640831758034027,0.11400651465798045,0.008674531575294934,0.007633587786259542,0.0006939625260235947,0.0013879250520471894,0.002081887578070784,0.014226231783483692,9,Rural
Hilltops,954,929,974,927,0.05472636815920398,0.09436968838526912,0.09763157894736842,0.12235019195459856,0.005661161317128909,0.0037914199646826635,0.0001558117793705204,0.0012464942349641633,0.0012984314947543367,0.008517710605588449,11,Large Rural
Hornsby,1082,1116,1082,1121,0.047579723033921995,0.05619418471797981,0.07948880934060419,0.07437860116919712,0.001580913109063243,0.0010737034865721193,0.00010539420727088287,0.000553319588172135,0.0004874482086278333,0.0018048757995138692,7,Metropolitan Fringe
Hunters Hill,1101,1156,1088,1163,0.044626255113425065,0.052104722792607805,0.06855691917054592,0.06824090121317157,0.0012537797772697102,0.0013275315288738107,0.0,0.0008112692676451066,0.0008112692676451066,0.0015487867836861124,2,Metropolitan
Inner West,1057,1118,993,1141,0.07603144402163028,0.08644508553086018,0.13957545083779666,0.11457388939256573,0.002510693695369165,0.002833419028760844,0.0003391350961065103,0.0007603190057871764,0.0007876686103118949,0.002899058079620169,3,Metropolitan
Inverell,928,906,950,899,0.05350454788657036,0.09425742574257426,0.07855395487904322,0.1164256581386726,0.010866521032879628,0.005881364476558562,0.0009522209152523386,0.0021284938105640507,0.0019044418305046772,0.013107040833473365,11,Large Rural
Junee,934,918,977,904,0.04931862426995458,0.06948356807511737,0.09225092250922509,0.12130356065178033,0.0056118472330475445,0.003897116134060795,0.0001558846453624318,0.002338269680436477,0.002494154325798909,0.00779423226812159,10,Large Rural
Kempsey,903,881,943,882,0.07585853408508457,0.10688216892596454,0.11415441176470588,0.14438557163236193,0.00843978102189781,0.005800312825860271,0.0005539624608967674,0.0022158498435870698,0.0017270594369134516,0.010003910323253389,4,Regional Town/City
Kiama,1070,1061,1062,1058,0.04532163742690058,0.07371524852569503,0.0898876404494382,0.09657085224407463,0.0016468752708676433,0.0015168588021149346,0.00030337176042298693,0.0007800988125162521,0.0006500823437635434,0.002253618791713617,4,Regional Town/City
Ku-ring-gai,1108,1165,1117,1174,0.03993515479814954,0.039147040101845956,0.06990443236117977,0.05702193729339878,0.0011847577291337567,0.0005722299235952159,7.25361874979851e-05,0.0004110383958219156,0.0004916341597085657,0.001321770527741062,3,Metropolitan
Kyogle,921,906,950,929,0.06769436997319035,0.10408098702942106,0.08210947930574099,0.12391304347826088,0.0034191687146062615,0.0037397157816005983,0.0,0.0010684902233144566,0.0007479431563201197,0.004594507960252164,10,Large Rural
